Texts,Labels
i asked my husband to please put away the laundry and he did what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
told aiden to wash his hands,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
It was time to clean up their toys,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
jack was stomping his feet and i asked him to walk nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
she had to write a sentence about her day. writing is hard for her even though she doesn't have trouble coming up with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
"Doing worksheets, sister approached him ","They were in the middle of a long task or assignment,Someone got in their personal space"
Mom asks Noel to clean up his toys,"They were in the middle of something they enjoy doing,Asked to stop using something they like,They were given directions or a task to complete"
david was eating lunch in the cafeteria when an aide sat down next to him,"""Loud, busy, crowded, or overwhelming environment"",Someone got in their personal space"
"4-year-old Jimmy is in the bathtub and his mother says “it’s
  time to wash your hair”","Stopping one activity/task and starting another,They were given directions or a task to complete"
 Student was handed the assignment. Just came in from recess,"Stopping one activity/task and starting another,They were given directions or a task to complete"
"at dance practice, the girls changed from ballet shoes into tap shoes","Stopping one activity/task and starting another,They were given directions or a task to complete,""Given a difficult, unclear, or challenging task/activity"""
Mom asked CHILD to do some reading lessons on the computer,"Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"",They were given directions or a task to complete"
Playing near sister,"While playing with a sibling or peer,Someone got in their personal space"
"Teacher is grading papers and the class is working
  independently","Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"",They were in the middle of a long task or assignment"
brother took the last purple piece in the game,"Another person had an item they want,They wanted something unavailable"
CHILD's pants got wet at the park,"""Physical discomfort (wet, cold, etc.)"""
brother was getting closer to finishing his puzzle but [subject] had just started his,Someone out-competed them
"Losing at game, sister nearby",Someone out-competed them
CHILD was losing at Candyland,Someone out-competed them
BCBA won game (Chutes and Ladders),"Someone out-competed them,Their choice was not honored/accepted"
I was taking off her ballet shoes and putting on her tap shoes,"Forced participation in activity or task,Stopping one activity/task and starting another"
i had a really stressful day. nothing went according to plan and i was feeling really overwhelmed,Bad day at school or work
i said give me your phone,"They were in the middle of something they enjoy doing,They were given directions or a task to complete,Asked to stop using something they like"
"playing with toys in class, time to go home","They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
"Ms. Kelly gives a 5 minute warning that free choice time is
  almost over","They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
her brother took her toy away,"They were in the middle of something they enjoy doing,Belongings disturbed without permission/unexpected,Another person had an item they want"
I told him he already had enough snacks and to wait for dinner,"""They wanted something and got told """"no"""""",They were asked or told to wait for something"
"he had a lot of rice crackers, he asked for more and I said no","""They wanted something and got told """"no"""""",They wanted something unavailable"
my ipad doesn't have the game he wants,"""They wanted something and got told """"no"""""",They wanted something unavailable"
"Taking turns with friends on the slide; little brother cut in
  front of her","While playing in a large group (like recess),Sudden change of plans or routine,Belongings disturbed without permission/unexpected"
"Ms. Kelly tells student
  ""recess will be inside today"", it's raining",Sudden change of plans or routine
"16-year-old Sarah asks her parents for an iPad and they say
  “sorry honey, we really can’t afford one right now”","They wanted something unavailable,""They wanted something and got told """"no"""""""
At dance class my daughter didn't get the pink ribbon she wanted ,"They wanted something unavailable,Another person had an item they want"
[subject's] brother built his new Lego set before he got a chance to open it,"Another person had an item they want,Sudden change of plans or routine,Belongings disturbed without permission/unexpected"
His brother took his water,Belongings disturbed without permission/unexpected
I asked Joe to stop playing on the computer.,"Asked to stop using something they like,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
"We were deciding on what to watch for movie night, and clarissa and bianca each wanted to want a different show","Disagreement with someone,Their choice was not honored/accepted"
"
  Playing Chutes and Ladders, daddy was winning
  ",Someone out-competed them
Student was working on the math assignment,They were in the middle of a long task or assignment
CHILD was in the living room while his dad watched him play,"Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"""
CHILD was at the table when I left to start dinner,"Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"""
"CHILD was playing alone in the living room while I cooked
  dinner","Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"""
"I was on the phone with my friend and my son kept trying to interrupt me, i snapped at him you have to wait","Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"",They were asked or told to wait for something"
cousin asked [subject] a question but his brother answered it first before he could,Someone out-competed them
when I'm driving,Nothing to do or play with
one asked my husband to please put away the wash and he did what he always do,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
one asked my husband to please put away thelium laundry and he suffice what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
i expect my husband to delight put off the laundry and he did what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
iodine call for my husband to please frame away the laundry and he did what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
i asked my married man to delight lay away the laundry and he did what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
differentiate aiden to launder his hired man,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
tell aiden to lave his workforce,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
say aiden to moisten his workforce,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
tell aiden to wash off his hand,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
tell apart aiden to rinse his mitt,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
It was clock time to make clean up their miniature,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
It was fourth dimension to houseclean up their toy,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
It was clock time to scavenge upward their toys,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
It was fourth dimension to houseclean upwards their toys,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
It was time to cleanse upward their toy,"They were given directions or a task to complete,They were in the middle of something they enjoy doing,Stopping one activity/task and starting another"
jack was stompunityng his feet and i involve him to take the air nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
jack embody stompatomic number 53ng his feet and i asked him to take the air nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
jack latomic number 53ve stamp his feet and i asked him to walk nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
sea dog was stump h1s feet and i asked him to walk nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
diddley was stump hiodines feet and i asked him to walk nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
she had to write a sentence about her day. piece of writing is hard for her even though she doesn't have fuss come up with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
she hampd to write a sentence about her day. writing is concentrated for her even though she doesn't have trouble coming up with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
she hdeoxyadenosine monophosphated to write a sentence about her day. authorship is hard for her even though she doesn't have trouble coming up with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
she had to pen a sentence about her day. writing is hard for her even though she doesn't have hassle coming upwards with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
she have to write a sentence about her 24 hour interval. writing constitute hard for her even though she doesn't have trouble coming up with the sentence,"They were given directions or a task to complete,Stopping one activity/task and starting another,""Given a difficult, unclear, or challenging task/activity"""
